"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
891.952,12385.4,2558.58
1093.31,11739.9,2622.41
340.215,9607.67,1040.31
954.929,13166.8,5709.67
8965.77,31732.9,26543.7
815.292,11069.9,1805.6
1059.84,13429.4,1075.92
1075.1,12365.8,19035.6
1130.54,10802.2,1246.39
907.241,12177.8,9362.38
2296.23,16501.5,8454.34
1558.82,20327.7,15067.7
597.256,13924,1882.82
617.532,9278.24,5703.68
2317.11,31103.4,2978.71
4326.15,20453.6,1007.29
506.181,10350.3,6950.96
517.631,16887.5,1305.97
832.669,16632.7,1705.49
504.663,4908.29,9504.26
1506.91,13006.6,19670.5
1096.87,21539.3,2941.85
759.59,9568.24,8289.27
607.307,12717.6,2263.97
934.382,8552.73,7096.51
1109.64,19310.6,12753.1
1204.23,7092.22,4046.81
1017.44,16022.5,9945.52
786.125,17583.1,11547.3
1962.52,17407,58603.4
1482.96,8964.49,5084.3
861.28,9453.27,340.831
879.615,6001.07,6205.78
769,16501.7,4885.12
1035.3,13770.4,16804
761.851,13888.5,1233.33
1512.9,32737.1,19173
1013.69,16400.7,6250.98
777.227,14376.8,8321.48
478.522,5388.88,714.978
1011.7,14984.6,11756.3
926.294,12134.6,358.129
4155.98,26229.2,10635
2159.59,27142.9,9374.69
788.237,7057.32,2915.37
717.126,10890.5,3618.31
237.191,10790.6,3944.27
1400.81,24538.3,9724.95
1297.89,21447.2,6698.67
870.593,14741,449.47
609.104,8252.36,3798.8
903.433,10752.3,3827.68
515.61,16327.1,4479.76
1361.7,11851.7,2667.95
883.182,11936.2,1094.68
831.022,4265.26,4428.77
667.556,12219.3,12118.4
281.947,12397.4,3075.45
1596.94,18037.1,2253.69
786.808,8175.04,20303.5
560.755,5712.53,606.043
1170.69,15794,2230.63
806.751,15619.9,10124.8
763.957,18567.8,2774.93
342.584,6788.97,9132.72
1849.29,24427.3,31492.2
458.933,18213.8,2635.19
984.391,17868,4012.45
892.33,18234.6,5378.91
1418.74,32995.4,7241.76
762.155,13786.5,1319.27
319.591,15881.9,7730.94
3183.13,18664.2,29894.5
1096.33,21419.3,6930.64
1546.03,24626.4,9993.34
1578.39,21371.4,3514.52
2802.56,23058.5,10342.7
721.084,13093.8,3538.22
2444.79,15312.5,9583.43
305.957,16340.3,2695.7
821.441,18459.5,2020.22
903.26,14566.1,10185.8
752.396,9716.78,8297.5
7592.46,13921.6,3999.89
699.041,14058.1,5903.5
2243.71,24473.6,5878.27
1290.52,8917.25,7606.33
792.993,19059.7,15000.3
876.006,8139.79,4196.42
1215.67,14488.1,13393.2
1014.95,6454.88,1363.39
1239.07,6859.89,11025
728.869,17688.6,1912.76
498.907,8943.5,4284.17
509.147,15118.7,5161.28
881.826,16729.8,5086.72
1070.47,18134.7,9291.53
769.538,16367.5,2717.36
1184.58,22213.1,5986.3
384.774,10430.7,1730.56
3744.06,12447.4,69193.2
1743.32,10084.3,4072.18
984.984,14787.4,29756.2
1037.62,14312.2,4463.37
1955.8,18415.6,114994
1854.81,10985.7,9505.42
2281.53,33285.9,16877.1
1547.21,19043.3,1699.3
944.879,12776.4,11676.3
236.138,10153.4,4328.25
1047.13,16558.1,3203.69
1318.22,10520.2,2911.55
1354.05,13289.5,16859.4
1595.64,13805.9,3198.79
1777.52,14842,9735.12
919.283,16881.1,6558.79
712.437,16255.1,9791.29
558.351,22631.8,5369.89
3524.17,11609.4,17424.9
474.56,12769.9,6655.75
515.491,28756,11373.9
789.052,5798.7,1823.56
1316.46,14504.9,3571.67
940.791,25987.1,3827.8
1478.11,14236.6,4655.65
1591.35,23917.9,6787.24
348.202,18967.8,6457.86
813.152,15911.8,5371.53
1017.36,18083.9,20477.6
1561.81,14088.2,30432.7
1332.23,6227.11,9514.44
1865.81,21475.2,15059.8
448.441,13511.2,14134.3
694.527,17101,6652.66
745.659,15173.5,1478.16
1840.97,29299.6,12409
1521.81,22171.2,1953.41
1499.89,36105.7,10800.7
2230.52,6763.5,4553.23
1229.09,16046.1,2440.13
845.423,20087.8,5094.36
1680.15,15881.2,3247.3
1590.41,20011.6,13608.9
976.415,13305.5,4099
1988.09,16163.7,1766.84
2823.77,23489.8,13256.5
416.173,15587.7,1224.27
658.76,7020.86,838.8
985.933,16560.9,5677.93
2235.83,26594.1,3152.51
1088.85,13065.9,55333.7
928.312,24955.7,3961.95
2045.86,24361.1,6014.83
1297.98,13493.2,4292.37
1627.04,27685.6,25620.1
774.763,30907.1,28994.1
298.101,9447.53,2309.01
1064.21,17621.5,1732.55
10926.4,26543.7,47534.4
2049.39,20800.6,1363.46
1542.28,12018.6,1581.99
1963.96,17753.9,33724.6
795.408,18281.5,7549.23
2110.66,16905.3,8992.53
1476.76,17153.9,5341.26
1446.32,12195,6678.79
1036.8,12968.7,8041.45
1314.33,11698.2,7126.63
1559.98,16262.3,9710.68
358.472,22795.2,24596.9
555.247,15825.5,542.707
6036.86,7098.16,5174.9
2427.22,12698.7,34208.4
1630.77,16071.4,12502.1
1382.46,7493.48,1770.73
127.287,12242.9,366.532
318.263,9318.08,1072.31
719.879,9025.3,3553.29
809.255,21222.2,3758.99
299.379,15570.9,8277.64
753.928,16856.3,5511.4
521.446,16898.3,372.73
1482.75,16368.4,3759.85
2824.42,18605.7,6027.45
1077.96,17958.3,8168.94
444.612,7164.79,3278.47
492.362,9231.31,3924.36
739.511,18757.6,6498.09
863.524,15777.9,4971.07
913.666,12058.8,12653.3
766.546,20829.3,13181.9
1087.41,11496,10397.1
702.682,16442.9,11003.5
636.04,11615,3805.74
1780.89,25435.7,21485
1292.9,21346.7,1753.8
1023.31,22258.7,9308.77
600.318,16298,12063.8
1672.79,9857.25,6823.33
970.141,18281.1,7513.83
587.006,14997.5,1946.26
1032.94,16749.7,2496.14
594.118,9162.51,1057.5
1275.26,12121.2,10455.9
1088.47,14984.2,3415.79
1273.71,25324.9,4356.82
371.241,12185.5,2766.12
2363.11,26698.8,20375.5
1207.68,23338.5,13105.4
893.596,12778.6,1072.42
296.484,8129.66,3815.94
341.415,10050.3,5263.74
1793.04,14113.7,11556.1
1754.72,14114,2509.46
2747.06,20503.6,24930.4
2092.94,20681.2,37249.1
556.867,13675.1,8398.04
1314.84,23441.5,10682.8
1365.45,7784.64,4937.41
918.177,9706.89,17547.5
1249.32,14111.4,7038.37
795.164,15741.4,4995.54
1636.91,20733.2,17639
469.923,9167.26,2702.86
1507.23,17536.1,4573.59
846.994,18401.6,12562.1
1242.82,14383,16574.7
1594.26,19063,1839.35
374.92,26732.1,8066.8
1521.97,17261.5,3249.76
1455.46,19514.1,9005.25
620.084,7884.11,4774.82
2967.66,6588.3,3517.87
3657.64,19894.1,23038.8
1054.03,19645,8649.03
610.302,14742.1,6073.48
195.366,14825.8,6006.9
1745.74,7451.3,5679.61
625.368,20608.9,8747.75
1266,17336,5428.65
332.608,8197.04,3380.66
2397.16,19286.4,14130.8
498.222,12069.1,668.878
2388.15,7907.73,30269.2
1178.46,23545.3,14026.9
572.113,9583.77,786.175
1622.83,17265,11655.1
1081.89,16470.6,8700.63
1164.5,12162.9,542.211
3378.08,17745.2,8192.54
660.885,9801.41,30910
1294.97,20196.5,11154.9
2164.06,15823.6,316.53
