"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
1256.78,14429.1,6253.07
1115.04,13086.8,7025.49
888.553,25997.1,23535.2
2046.4,19997.4,1708.34
1525.75,13002.5,8356.57
690.932,27761.1,14095.5
2348.84,15814.6,8754.6
5475.86,10863.1,44288.8
762.235,12561.4,17060
3691.59,19178.7,3672.87
1657.33,8288.43,25019.9
549.68,8594.46,4674.86
941.791,7849.04,8780.98
799.771,21316.7,5651.17
1074.62,13956.1,27146
1742.88,21596.9,2953.32
188.113,11063.4,1252.85
1048.62,29791.9,9451.18
1188.68,15406.2,9009.63
2303.42,9864.83,12966.4
535.906,7231.7,3959.08
1159.22,9044.11,5419.37
3083.44,27046.1,5513.06
551.257,8602.65,2795.21
2026.11,22512.3,12996.7
1172.82,28454.3,1170.22
857.278,6054.93,35399.8
537.386,21178,5853.58
1355.29,4661.97,14357.2
169.684,10624.3,5338.32
1348.48,17215.6,4957.69
1204.36,18413.4,14514.2
1112.43,21845.7,32104.6
137.552,3476.26,1060.78
1276.24,13591.9,12638.4
354.219,11580.1,2412.88
297.494,10971.2,7119.94
2995.17,18243,4909
1880.51,17518,13385.5
651.687,30014.7,91512
1642.61,32148.2,19972.7
462.491,17107,821.382
1050.25,35282.2,9440.02
2240.01,20887.3,29267
1042.92,15106.4,9470.47
1079.1,19539.2,38233.8
490.745,11806.4,992.017
1148.2,16693.1,19008.1
1118.18,11933.2,2620.96
802.605,11803.5,6919.38
757.003,21570.5,12897.9
2604.01,24777.6,54003.5
587.195,6523.52,3185.8
2462.74,11835.5,2083.24
1754.72,26211.3,9737.92
1335.4,17734,19919
1128.53,19089.8,8504.32
1978.56,17235.7,14198.7
1177.99,25551.2,17281.1
1338.79,10169.6,3585.24
2000.06,10813.5,24622.9
940.538,15098.6,6627.28
978.834,15926.3,4900.3
2878.33,14806.4,9040.23
1328.28,26493.1,27223.9
995.468,11118.1,9330.36
611.771,8550.3,7838.72
632.594,7362.31,9850.05
1886.75,27361.9,12440.9
193.005,7914.04,9357.76
527.485,18754.7,5169.3
852.625,14095.8,5276.34
1268.99,12428.5,3567.76
655.77,9561.86,2143.54
1353.45,18465.6,1578.11
1251.73,10199,2518.65
538.377,8848.79,11894.8
975.969,14053.4,1871.34
1223.38,15377.7,21993
205.499,15892.6,1037.99
603.484,8673.08,11787.4
2538.81,10760,12061
1267.27,19265.8,20848.1
1050.84,11338.6,14462
792.943,8188.74,13272.6
